"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","Amount","Class"
1.991757,-0.211745,-1.146,0.630829,-0.200819,-1.114824,0.175789,-0.272021,0.727925,0.089574,-1.060448,-0.068215,-0.94515,0.430946,-0.098505,-0.169199,-0.189544,-0.713141,0.169206,-0.23262,-0.263823,-0.70721,0.27598,-0.050023,-0.235904,0.062353,-0.069046,-0.0559,-0.968955091151623,0
0.949241,1.333519,-4.855402,1.835006,-1.053245,-2.562826,-2.286986,0.260906,-0.895366,-4.542612,2.45371,-4.925199,-1.200412,-6.424372,1.014897,-3.129421,-5.147039,-1.815437,0.520497,0.424608,0.306598,-0.854627,0.101177,-0.281497,0.024444,-0.107944,0.625289,0.315677,-0.942196531791908,1
-0.653968,1.624992,-1.276499,-0.898748,0.978263,0.146188,0.262078,-0.264269,-0.241602,-0.536554,0.30294,0.821122,0.58818,-0.688856,-0.929418,0.786115,0.078485,0.423722,0.232005,-0.069889,0.443125,-1.096865,0.164927,-0.317227,-0.24937,0.160729,0.243665,0.069742,-0.991116051578479,0
-2.335655,2.22538,-3.37945,2.178538,-3.568264,0.316814,-1.734948,1.449139,-1.980033,-5.711505,1.837215,-4.540342,0.747846,-6.284314,-0.128887,-3.563239,-7.368321,-2.692953,-0.45055,0.274027,0.78554,0.297412,0.308536,-0.598416,-0.12185,-0.491018,0.701606,0.206966,-0.605006669630947,1
-4.446847,-0.014793,-5.126307,6.94513,5.269255,-4.297177,-2.591242,0.342671,-3.880663,-3.976525,5.730084,-5.031868,-1.135439,-10.787051,0.265456,-1.104217,0.636413,0.994101,-0.688721,-0.108006,0.247913,-0.049586,-0.226017,-0.401236,0.856124,0.661272,0.49256,0.971834,-0.999110715873722,1
-1.08533,1.123472,0.317517,-0.555729,-0.887892,-0.25117,-0.232168,0.823869,0.075523,-0.845307,0.65607,1.581206,0.689248,0.434368,-0.56727,0.531284,-0.554536,0.289796,-0.083369,-0.490961,0.070257,-0.02454,0.280086,-0.01318,-0.686129,-0.747004,-0.49007,-0.107868,-0.955553579368608,0
1.118331,2.074439,-3.837518,5.44806,0.071816,-1.020509,-1.808574,0.521744,-2.032638,-2.732792,3.274075,-3.541687,-0.94682,-7.555729,-1.767005,-0.642333,-2.114429,0.183327,-1.177793,0.163513,0.289861,-0.172718,-0.02191,-0.37656,0.192817,0.114107,0.500996,0.259533,-0.999110715873722,1
-2.986466,-0.000891,0.605887,0.338338,0.685448,-1.581954,0.504206,-0.233403,0.636768,1.010291,0.004518,0.044397,0.420853,-0.931614,1.147974,0.483063,-0.152471,-0.285666,0.07255,-0.764274,-0.875146,-0.509849,1.313918,0.355065,0.448552,0.19349,1.214588,-0.013923,-0.998408181413962,1
-14.474437,6.503185,-17.712632,11.270352,-4.150142,-3.372098,-16.535807,-1.443947,-6.815273,-13.670545,10.545263,-15.0227,0.171633,-15.066374,-0.259576,-8.668739,-12.804141,-5.11662,0.5792,1.10125,-2.475962,0.342391,-3.564508,-0.81814,0.153408,0.755079,2.706566,-0.992916,-0.999110715873722,1
1.26614,-1.138134,1.605107,-0.216728,-1.848007,0.575928,-1.6802,0.399975,0.814457,0.237674,-1.060684,-0.386589,-0.712983,-1.224104,-1.042383,0.299894,1.21104,-1.725906,0.635305,-0.046352,0.159047,0.820285,-0.053202,0.13765,0.383134,-0.013941,0.097939,0.022476,-0.99590929301912,0
-2.423535,1.659093,-3.071421,2.588033,1.135791,-1.892388,-2.588418,-2.226592,-1.670173,-3.508925,1.439322,-1.959927,0.767485,-4.978118,1.058566,-0.997477,-0.817261,0.307798,0.028485,0.353898,-0.934127,0.922038,-0.180255,-0.281719,0.299285,-0.263801,0.150156,0.292112,-0.991738550466874,1
-1.497964,-5.321654,-1.710772,0.580053,-2.23391,-0.034101,1.58899,-0.466455,-1.082042,0.122743,0.541646,0.152851,-0.465467,0.704928,-0.43823,-1.26831,0.037264,1.607938,-0.520922,2.505859,0.475279,-1.492321,-1.362824,0.116016,-0.129524,0.938099,-0.360642,0.242581,0.333303690529124,0
-4.641893,2.902086,-1.572939,2.507299,-0.871783,-1.040903,-1.593901,-3.254905,1.908963,1.077418,3.338502,-6.54261,1.099536,-3.266476,1.014728,-4.842383,-5.269876,-2.344669,1.959224,-0.465679,1.963597,-0.217414,-0.54934,0.645545,-0.354558,-0.611764,-3.90808,-0.671248,-0.98987105380169,1
-23.984747,16.697832,-22.209875,9.584969,-16.230439,2.596333,-33.239328,-21.560039,-10.842526,-19.836149,3.223233,-10.895134,-1.523452,0.116303,-3.098805,-7.606425,-18.108261,-7.511866,-1.243285,5.804551,-12.615023,5.774087,2.750221,0.513411,-1.608804,-0.459624,-4.626127,-0.334561,-0.999110715873722,1
-0.801891,-0.762608,-1.879834,-0.327513,1.569677,-1.280827,1.575153,-0.366922,-0.344156,-1.629119,-1.052008,-0.498413,0.603957,-2.156437,0.036801,0.61471,1.324058,0.644092,0.612391,0.961778,0.02264,-0.598733,0.775002,-1.154025,-0.503156,1.135401,-0.108068,0.163632,-0.725566918630502,0
